place,start time,end time,original downtime,unit,Ripe Atlas Confirmation Ratio,notes,downtime,Service Name
IL1,21 Sep 2022 02:47 PDT,22 Sep 2022 07:57 PDT,29.16,hours,NA,None,1749.6,CenturyLink Cloud Servers
IL1,19 Sep 2022 13:04 PDT,21 Sep 2022 02:08 PDT,37.06,hours,NA,None,2223.6000000000004,CenturyLink Cloud Servers
IL1,19 Sep 2022 00:49 PDT,19 Sep 2022 12:04 PDT,11.26,hours,NA,None,675.6,CenturyLink Cloud Servers
IL1,18 Sep 2022 05:35 PDT,18 Sep 2022 23:31 PDT,17.92,hours,NA,None,1075.2,CenturyLink Cloud Servers
IL1,17 Sep 2022 18:52 PDT,18 Sep 2022 02:24 PDT,7.54,hours,NA,None,452.4,CenturyLink Cloud Servers
IL1,17 Sep 2022 14:01 PDT,17 Sep 2022 17:59 PDT,3.96,hours,NA,None,237.6,CenturyLink Cloud Servers
IL1,16 Sep 2022 17:26 PDT,16 Sep 2022 17:57 PDT,31.02,mins,NA,None,31.02,CenturyLink Cloud Servers
IL1,16 Sep 2022 09:37 PDT,16 Sep 2022 16:38 PDT,7.03,hours,NA,None,421.8,CenturyLink Cloud Servers
IL1,16 Sep 2022 06:27 PDT,16 Sep 2022 09:25 PDT,2.97,hours,NA,None,178.20000000000002,CenturyLink Cloud Servers
IL1,15 Sep 2022 16:46 PDT,16 Sep 2022 04:11 PDT,11.41,hours,NA,None,684.6,CenturyLink Cloud Servers
IL1,15 Sep 2022 07:56 PDT,15 Sep 2022 13:48 PDT,5.87,hours,NA,None,352.2,CenturyLink Cloud Servers
IL1,15 Sep 2022 00:27 PDT,15 Sep 2022 04:01 PDT,3.58,hours,NA,None,214.8,CenturyLink Cloud Servers
IL1,14 Sep 2022 13:14 PDT,14 Sep 2022 13:58 PDT,43.68,mins,NA,None,43.68,CenturyLink Cloud Servers
IL1,14 Sep 2022 03:48 PDT,14 Sep 2022 12:53 PDT,9.08,hours,NA,None,544.8,CenturyLink Cloud Servers
IL1,13 Sep 2022 07:25 PDT,13 Sep 2022 08:04 PDT,39.30,mins,NA,None,39.3,CenturyLink Cloud Servers
IL1,12 Sep 2022 22:59 PDT,13 Sep 2022 06:53 PDT,7.90,hours,NA,None,474.0,CenturyLink Cloud Servers
IL1,12 Sep 2022 17:56 PDT,12 Sep 2022 19:52 PDT,1.93,hours,NA,None,115.8,CenturyLink Cloud Servers
IL1,12 Sep 2022 10:58 PDT,12 Sep 2022 17:46 PDT,6.79,hours,NA,None,407.4,CenturyLink Cloud Servers
IL1,12 Sep 2022 01:14 PDT,12 Sep 2022 07:58 PDT,6.74,hours,NA,None,404.40000000000003,CenturyLink Cloud Servers
IL1,11 Sep 2022 17:47 PDT,12 Sep 2022 00:45 PDT,6.96,hours,NA,None,417.6,CenturyLink Cloud Servers
IL1,11 Sep 2022 11:41 PDT,11 Sep 2022 14:06 PDT,2.41,hours,NA,None,144.60000000000002,CenturyLink Cloud Servers
IL1,11 Sep 2022 01:58 PDT,11 Sep 2022 11:17 PDT,9.32,hours,NA,None,559.2,CenturyLink Cloud Servers
IL1,10 Sep 2022 15:29 PDT,10 Sep 2022 17:01 PDT,1.53,hours,NA,None,91.8,CenturyLink Cloud Servers
IL1,10 Sep 2022 09:56 PDT,10 Sep 2022 14:54 PDT,4.97,hours,NA,None,298.2,CenturyLink Cloud Servers
IL1,10 Sep 2022 03:03 PDT,10 Sep 2022 04:35 PDT,1.53,hours,NA,None,91.8,CenturyLink Cloud Servers
IL1,09 Sep 2022 19:34 PDT,10 Sep 2022 02:14 PDT,6.67,hours,NA,None,400.2,CenturyLink Cloud Servers
IL1,09 Sep 2022 16:02 PDT,09 Sep 2022 19:12 PDT,3.17,hours,NA,None,190.2,CenturyLink Cloud Servers
IL1,08 Sep 2022 18:01 PDT,09 Sep 2022 00:46 PDT,6.75,hours,NA,None,405.0,CenturyLink Cloud Servers
IL1,08 Sep 2022 11:54 PDT,08 Sep 2022 17:01 PDT,5.12,hours,NA,None,307.2,CenturyLink Cloud Servers
IL1,07 Sep 2022 05:42 PDT,07 Sep 2022 07:56 PDT,2.24,hours,NA,None,134.4,CenturyLink Cloud Servers
IL1,06 Sep 2022 14:03 PDT,07 Sep 2022 04:41 PDT,14.63,hours,NA,None,877.8000000000001,CenturyLink Cloud Servers
IL1,06 Sep 2022 10:41 PDT,06 Sep 2022 13:11 PDT,2.51,hours,NA,None,150.6,CenturyLink Cloud Servers
IL1,06 Sep 2022 09:29 PDT,06 Sep 2022 09:41 PDT,12.07,mins,NA,None,12.07,CenturyLink Cloud Servers
IL1,05 Sep 2022 23:13 PDT,06 Sep 2022 07:36 PDT,8.37,hours,NA,None,502.19999999999993,CenturyLink Cloud Servers
IL1,05 Sep 2022 19:55 PDT,05 Sep 2022 22:08 PDT,2.23,hours,NA,None,133.8,CenturyLink Cloud Servers
IL1,05 Sep 2022 14:58 PDT,05 Sep 2022 15:08 PDT,9.55,mins,NA,None,9.55,CenturyLink Cloud Servers
IL1,04 Sep 2022 05:38 PDT,04 Sep 2022 17:04 PDT,11.43,hours,NA,None,685.8,CenturyLink Cloud Servers
IL1,04 Sep 2022 03:47 PDT,04 Sep 2022 05:16 PDT,1.49,hours,NA,None,89.4,CenturyLink Cloud Servers
IL1,03 Sep 2022 22:07 PDT,03 Sep 2022 22:46 PDT,39.48,mins,NA,None,39.48,CenturyLink Cloud Servers
IL1,02 Sep 2022 01:55 PDT,02 Sep 2022 07:52 PDT,5.94,hours,NA,None,356.40000000000003,CenturyLink Cloud Servers
IL1,01 Sep 2022 18:59 PDT,01 Sep 2022 23:15 PDT,4.27,hours,NA,None,256.2,CenturyLink Cloud Servers
IL1,01 Sep 2022 15:28 PDT,01 Sep 2022 16:42 PDT,1.23,hours,NA,None,73.8,CenturyLink Cloud Servers
IL1,31 Aug 2022 12:13 PDT,31 Aug 2022 17:01 PDT,4.80,hours,NA,None,288.0,CenturyLink Cloud Servers
IL1,31 Aug 2022 07:24 PDT,31 Aug 2022 08:12 PDT,48.15,mins,NA,None,48.15,CenturyLink Cloud Servers
IL1,31 Aug 2022 00:35 PDT,31 Aug 2022 03:22 PDT,2.78,hours,NA,None,166.79999999999998,CenturyLink Cloud Servers
IL1,30 Aug 2022 22:48 PDT,30 Aug 2022 23:42 PDT,54.30,mins,NA,None,54.3,CenturyLink Cloud Servers
IL1,30 Aug 2022 15:07 PDT,30 Aug 2022 20:02 PDT,4.93,hours,NA,None,295.79999999999995,CenturyLink Cloud Servers
IL1,30 Aug 2022 08:29 PDT,30 Aug 2022 08:44 PDT,15.25,mins,NA,None,15.25,CenturyLink Cloud Servers
IL1,30 Aug 2022 05:43 PDT,30 Aug 2022 05:53 PDT,10.55,mins,NA,None,10.55,CenturyLink Cloud Servers
IL1,29 Aug 2022 04:41 PDT,29 Aug 2022 05:12 PDT,30.73,mins,NA,None,30.73,CenturyLink Cloud Servers
IL1,28 Aug 2022 22:32 PDT,29 Aug 2022 01:51 PDT,3.32,hours,NA,None,199.2,CenturyLink Cloud Servers
IL1,28 Aug 2022 20:01 PDT,28 Aug 2022 20:13 PDT,11.65,mins,NA,None,11.65,CenturyLink Cloud Servers
IL1,28 Aug 2022 12:27 PDT,28 Aug 2022 16:28 PDT,4.01,hours,NA,None,240.6,CenturyLink Cloud Servers
IL1,28 Aug 2022 02:57 PDT,28 Aug 2022 03:25 PDT,27.92,mins,NA,None,27.92,CenturyLink Cloud Servers
IL1,27 Aug 2022 07:29 PDT,27 Aug 2022 08:06 PDT,37.12,mins,NA,None,37.12,CenturyLink Cloud Servers
IL1,27 Aug 2022 01:01 PDT,27 Aug 2022 01:22 PDT,21.00,mins,NA,None,21.0,CenturyLink Cloud Servers
IL1,26 Aug 2022 07:33 PDT,26 Aug 2022 08:01 PDT,28.37,mins,NA,None,28.37,CenturyLink Cloud Servers
NY1,23 Sep 2022 19:44 PDT,24 Sep 2022 01:55 PDT,6.19,hours,NA,None,371.40000000000003,CenturyLink Cloud Servers
NY1,23 Sep 2022 12:22 PDT,23 Sep 2022 19:25 PDT,7.05,hours,NA,None,423.0,CenturyLink Cloud Servers
NY1,22 Sep 2022 20:56 PDT,23 Sep 2022 12:12 PDT,15.26,hours,NA,None,915.6,CenturyLink Cloud Servers
NY1,22 Sep 2022 13:07 PDT,22 Sep 2022 20:36 PDT,7.49,hours,NA,None,449.40000000000003,CenturyLink Cloud Servers
NY1,22 Sep 2022 05:42 PDT,22 Sep 2022 12:44 PDT,7.05,hours,NA,None,423.0,CenturyLink Cloud Servers
NY1,21 Sep 2022 07:23 PDT,22 Sep 2022 04:45 PDT,21.37,hours,NA,None,1282.2,CenturyLink Cloud Servers
NY1,20 Sep 2022 23:01 PDT,21 Sep 2022 07:01 PDT,8.00,hours,NA,None,480.0,CenturyLink Cloud Servers
NY1,20 Sep 2022 17:33 PDT,20 Sep 2022 18:29 PDT,55.90,mins,NA,None,55.9,CenturyLink Cloud Servers
NY1,20 Sep 2022 10:08 PDT,20 Sep 2022 16:50 PDT,6.69,hours,NA,None,401.40000000000003,CenturyLink Cloud Servers
NY1,20 Sep 2022 05:52 PDT,20 Sep 2022 09:52 PDT,4.00,hours,NA,None,240.0,CenturyLink Cloud Servers
NY1,19 Sep 2022 15:40 PDT,20 Sep 2022 00:42 PDT,9.04,hours,NA,None,542.4,CenturyLink Cloud Servers
NY1,19 Sep 2022 05:57 PDT,19 Sep 2022 11:07 PDT,5.16,hours,NA,None,309.6,CenturyLink Cloud Servers
NY1,19 Sep 2022 00:13 PDT,19 Sep 2022 03:30 PDT,3.28,hours,NA,None,196.79999999999998,CenturyLink Cloud Servers
